language,tokenizer_id,template_id,ascii_ratio,lsar,csbc,spr
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-769,0.164948,0.000000,0.000000,3.250000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-17,0.168675,0.000000,0.000000,2.875000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-56,0.091549,0.000000,0.000000,3.500000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-878,0.082090,0.000000,0.000000,3.416667
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-293,0.257732,0.000000,0.000000,3.428571
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-178,0.250000,0.000000,0.000000,3.571429
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-872,0.336364,0.000000,0.000000,3.833333
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-74,0.181818,0.000000,0.000000,3.000000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-702,0.310000,0.000000,0.000000,3.833333
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-485,0.170213,0.000000,0.000000,3.250000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-695,0.330097,0.000000,0.000000,3.285714
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-909,0.149123,0.000000,0.000000,3.444444
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-992,0.175824,0.000000,0.000000,3.125000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-902,0.321739,0.000000,0.000000,3.714286
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-563,0.171717,0.000000,0.000000,3.250000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-237,0.336283,0.000000,0.000000,3.571429
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-521,0.293651,0.000000,0.000000,3.857143
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-657,0.166667,0.000000,0.000000,3.375000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-340,0.171717,0.000000,0.000000,3.250000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-353,0.318182,0.000000,0.000000,4.166667
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-867,0.330357,0.000000,0.000000,4.000000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-157,0.177083,0.000000,0.000000,3.125000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-334,0.342857,0.000000,0.000000,3.833333
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-703,0.310000,0.000000,0.000000,3.833333
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-245,0.169811,0.000000,0.000000,3.500000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-986,0.326531,0.000000,0.000000,3.500000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-427,0.146789,0.000000,0.000000,3.444444
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-250,0.305556,0.000000,0.000000,3.571429
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-367,0.321739,0.000000,0.000000,3.571429
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-181,0.184783,0.000000,0.000000,2.777778
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-993,0.324324,0.000000,0.000000,3.571429
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-746,0.351852,0.000000,0.000000,3.666667
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-912,0.164948,0.000000,0.000000,3.375000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-565,0.309091,0.000000,0.000000,4.000000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-489,0.340000,0.000000,0.000000,3.666667
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-663,0.313043,0.000000,0.000000,3.571429
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-156,0.164948,0.000000,0.000000,3.375000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-883,0.346535,0.000000,0.000000,3.666667
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-740,0.311927,0.000000,0.000000,3.571429
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-380,0.164948,0.000000,0.000000,3.375000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-500,0.320388,0.000000,0.000000,3.666667
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-820,0.160000,0.000000,0.000000,3.111111
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-595,0.187500,0.000000,0.000000,2.777778
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-566,0.155340,0.000000,0.000000,3.222222
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-959,0.324324,0.000000,0.000000,4.166667
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-698,0.170213,0.000000,0.000000,3.250000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-185,0.363636,0.000000,0.000000,3.000000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-886,0.311927,0.000000,0.000000,4.166667
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-80,0.170213,0.000000,0.000000,3.250000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-135,0.175824,0.000000,0.000000,3.125000
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-830,0.333333,0.000000,0.000000,3.142857
Hindi,ai4bharat/IndicBERTv2-MLM-only,template-382,0.175824,0.000000,0.000000,3.125000
